iter,diffusion,ULA,tempering,dilation,DAZ
1538,0.0008637374,0.0008637374,0.06553466,0.94720787,0.0054095737
1544,0.0008570407,0.0008570407,0.06506661,0.9468736,0.005399047
1551,0.00084930257,0.00084930257,0.0645251,0.9464812,0.0053868447
1558,0.00084164436,0.00084164436,0.06398843,0.9460861,0.005374724
1564,0.0008351428,0.0008351428,0.063532226,0.9457452,0.005364401
1571,0.00082763,0.00082763,0.063004404,0.945345,0.00535243
1577,0.000821252,0.000821252,0.06255572,0.94499964,0.0053422335
1584,0.000813882,0.000813882,0.06203658,0.94459426,0.0053304113
1590,0.00080762495,0.00080762495,0.061595283,0.94424444,0.0053203404
1597,0.0008003944,0.0008003944,0.06108467,0.9438338,0.0053086607
1604,0.00079323805,0.00079323805,0.060578592,0.9434203,0.005297059
1610,0.0007871615,0.0007871615,0.06014838,0.94306356,0.0052871746
1617,0.00078013906,0.00078013906,0.05965058,0.9426447,0.0052757137
1623,0.00077417656,0.00077417656,0.059227403,0.94228333,0.0052659465
1630,0.00076728535,0.00076728535,0.058737732,0.9418591,0.0052546216
1636,0.0007614341,0.0007614341,0.058321454,0.94149315,0.005244974
1643,0.00075467146,0.00075467146,0.057839785,0.9410635,0.005233784
1650,0.00074797636,0.00074797636,0.057362344,0.94063085,0.005222665
1656,0.00074229104,0.00074229104,0.05695645,0.94025767,0.005213191
1663,0.0007357202,0.0007357202,0.05648677,0.9398195,0.005202202
1669,0.0007301403,0.0007301403,0.056087464,0.93944156,0.005192839
1676,0.00072369043,0.00072369043,0.0556254,0.93899775,0.0051819803
1682,0.0007182131,0.0007182131,0.055232577,0.93861496,0.005172725
1689,0.00071188144,0.00071188144,0.054778,0.93816555,0.0051619913
1696,0.0007056127,0.0007056127,0.054327395,0.937713,0.0051513226
1702,0.00070028886,0.00070028886,0.053944293,0.93732274,0.0051422296
1709,0.0006941345,0.0006941345,0.053500954,0.9368645,0.0051316847
1715,0.00068890775,0.00068890775,0.053124033,0.9364692,0.005122695
1722,0.0006828658,0.0006828658,0.052687854,0.9360051,0.005112271
1728,0.0006777339,0.0006777339,0.052316993,0.9356048,0.005103383
1735,0.00067180116,0.00067180116,0.05188781,0.9351349,0.005093073
1742,0.00066592626,0.00066592626,0.05146237,0.93466175,0.0050828275
1748,0.0006609365,0.0006609365,0.05110065,0.93425363,0.0050740927
1755,0.0006551677,0.0006551677,0.050682034,0.93377453,0.005063958
1761,0.0006502679,0.0006502679,0.050326113,0.9333613,0.005055318
1768,0.0006446029,0.0006446029,0.049914192,0.93287617,0.005045298
1774,0.0006397906,0.0006397906,0.049563948,0.93245775,0.0050367573
1781,0.00063422683,0.00063422683,0.049158614,0.9319665,0.005026848
1788,0.0006287171,0.0006287171,0.048756782,0.93147194,0.005016997
1794,0.0006240366,0.0006240366,0.048415106,0.93104535,0.0050085946
1801,0.0006186249,0.0006186249,0.04801967,0.9305446,0.0049988455
1807,0.0006140276,0.0006140276,0.047683448,0.9301127,0.0049905074
1814,0.000608712,0.000608712,0.047294304,0.9296057,0.0049807606
1820,0.00060419645,0.00060419645,0.046963427,0.9291684,0.004972391
1827,0.00059897517,0.00059897517,0.046580475,0.9286551,0.004962608
1834,0.0005938034,0.0005938034,0.046200804,0.9281383,0.004952807
1840,0.00058940967,0.00058940967,0.04587797,0.9276926,0.00494439
1847,0.00058432895,0.00058432895,0.045504324,0.92716944,0.0049345517
1853,0.00058001257,0.00058001257,0.045186605,0.9267182,0.0049261046
1860,0.00057502126,0.00057502126,0.044818874,0.9261885,0.0049162325
1867,0.00057007733,0.00057007733,0.044454288,0.9256553,0.004906343
1873,0.000565877,0.000565877,0.044144254,0.92519546,0.0048978506
1880,0.0005610194,0.0005610194,0.043785427,0.9246557,0.0048879255
1886,0.0005568922,0.0005568922,0.043480292,0.92419016,0.004879405
1893,0.00055211945,0.00055211945,0.043127116,0.92364365,0.0048694476
1899,0.0005480642,0.0005480642,0.042826794,0.9231724,0.004860899
1906,0.0005433743,0.0005433743,0.042479176,0.9226193,0.0048509096
1913,0.0005387284,0.0005387284,0.042134516,0.9220624,0.0048408997
1919,0.00053478096,0.00053478096,0.04184142,0.9215822,0.0048323045
1926,0.0005302154,0.0005302154,0.04150218,0.9210186,0.0048222616
1932,0.0005263361,0.0005263361,0.041213684,0.92053246,0.0048136394
1939,0.00052184926,0.00052184926,0.04087977,0.9199619,0.004803562
1945,0.0005180369,0.0005180369,0.04059581,0.91946995,0.0047949096
1952,0.0005136275,0.0005136275,0.04026712,0.91889244,0.0047848006
1959,0.00050925894,0.00050925894,0.039941207,0.91831124,0.004774672
1965,0.0005055468,0.0005055468,0.039664052,0.91780996,0.004765976
